"Selected population characteristics, Canada, ecozones and ecoregions" 1 2 3 4
"Every 5 years"
"Table: 38-10-0047-01 (formerly CANSIM 153-0057)"
"Geography: Canada, Ecozone, Ecoregion"

"Geography4","Population characteristics","1996","2001","2006","2011","2016"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","0","0","21","0","0"
,"","Number per square kilometre",,,,
,"Total population density","0.000","0.000","0s","0.000","0.000"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","0.0","0.0","100.0","0.0","0.0"
,"","Number",,,,
,"Private occupied dwellings 6","0","0","7","0","0"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","0","0","7","0","0"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.000","0.000","0s","0.000","0.000"
,"","Number",,,,
,"Population per private occupied dwelling 6","0.0","0.0","3.0","0.0","0.0"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","0.0","0.0","3.0","0.0","0.0"
"Garry Lake Lowland (ecoregion)","Total population","0","0","0","0","267"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","0","0","0","0","267"
,"","Number per square kilometre",,,,
,"Total population density","0.000","0.000","0.000","0.000","0.004"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","0.0","0.0","0.0","0.0","100.0"
,"","Number",,,,
,"Private occupied dwellings 6","0","0","0","0","66"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","0","0","0","0","66"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.000","0.000","0.000","0.000","0.001"
,"","Number",,,,
,"Population per private occupied dwelling 6","0.0","0.0","0.0","0.0","4.0"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","0.0","0.0","0.0","0.0","4.0"
"Back River Plain (ecoregion)","Total population","0","0","0","0","0"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","0","0","0","0","0"
,"","Number per square kilometre",,,,
,"Total population density","0.000","0.000","0.000","0.000","0.000"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"","Number",,,,
,"Private occupied dwellings 6","0","0","0","0","0"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","0","0","0","0","0"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.000","0.000","0.000","0.000","0.000"
,"","Number",,,,
,"Population per private occupied dwelling 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","0.0","0.0","0.0","0.0","0.0"
"Dubawnt Lake Plain/Upland (ecoregion)","Total population","0","0","0","0","32"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","0","0","0","0","32"
,"","Number per square kilometre",,,,
,"Total population density","0.000","0.000","0.000","0.000","0.001"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","0.0","0.0","0.0","0.0","100.0"
,"","Number",,,,
,"Private occupied dwellings 6","0","0","0","0","21"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","0","0","0","0","21"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.000","0.000","0.000","0.000","0.001"
,"","Number",,,,
,"Population per private occupied dwelling 6","0.0","0.0","0.0","0.0","1.5"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","0.0","0.0","0.0","0.0","1.5"
"Maguse River Upland (ecoregion)","Total population","4,255","4,726","5,103","5,304","6,371"
,"Population in population centres 5","2,058","2,177","4,143","4,076","4,955"
,"Population in rural areas 5","2,197","2,549","960","1,228","1,416"
,"","Number per square kilometre",,,,
,"Total population density","0.072","0.080","0.086","0.089","0.107"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","48.4","46.1","81.2","76.8","77.8"
,"Population in rural areas as a share of total population 5","51.6","53.9","18.8","23.2","22.2"
,"","Number",,,,
,"Private occupied dwellings 6","1,091","1,257","1,299","1,342","1,626"
,"Private occupied dwellings in population centres 5 6","576","657","1,018","1,008","1,236"
,"Private occupied dwellings in rural areas 5 6","515","600","281","334","390"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.018","0.021","0.022","0.023","0.027"
,"","Number",,,,
,"Population per private occupied dwelling 6","3.9","3.8","3.9","4.0","3.9"
,"Population per private occupied dwelling in population centres 5 6","3.6","3.3","4.1","4.0","4.0"
,"Population per private occupied dwelling in rural areas 5 6","4.3","4.2","3.4","3.7","3.6"
"Southampton Island Plain (ecoregion)","Total population","669","712","769","834","891"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","669","712","769","834","891"
,"","Number per square kilometre",,,,
,"Total population density","0.020","0.022","0.023","0.025","0.027"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","100.0","100.0","100.0","100.0","100.0"
,"","Number",,,,
,"Private occupied dwellings 6","150","175","195","208","221"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","150","175","195","208","221"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.005","0.005","0.006","0.006","0.007"
,"","Number",,,,
,"Population per private occupied dwelling 6","4.5","4.1","3.9","4.0","4.0"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","4.5","4.1","3.9","4.0","4.0"
"Central Ungava Peninsula (ecoregion)","Total population","3,642","4,017","4,630","5,105","5,465"
,"Population in population centres 5","0","0","0","0","2,350"
,"Population in rural areas 5","3,642","4,017","4,630","5,105","3,115"
,"","Number per square kilometre",,,,
,"Total population density","0.030","0.033","0.038","0.042","0.045"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","43.0"
,"Population in rural areas as a share of total population 5","100.0","100.0","100.0","100.0","57.0"
,"","Number",,,,
,"Private occupied dwellings 6","842","921","1,002","1,277","1,462"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","573"
,"Private occupied dwellings in rural areas 5 6","842","921","1,002","1,277","889"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.007","0.008","0.008","0.011","0.012"
,"","Number",,,,
,"Population per private occupied dwelling 6","4.3","4.4","4.6","4.0","3.7"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","4.1"
,"Population per private occupied dwelling in rural areas 5 6","4.3","4.4","4.6","4.0","3.5"
"Ottawa Islands (ecoregion)","Total population","0","0","0","0","0"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","0","0","0","0","0"
,"","Number per square kilometre",,,,
,"Total population density","0.000","0.000","0.000","0.000","0.000"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"","Number",,,,
,"Private occupied dwellings 6","0","0","0","0","0"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","0","0","0","0","0"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.000","0.000","0.000","0.000","0.000"
,"","Number",,,,
,"Population per private occupied dwelling 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","0.0","0.0","0.0","0.0","0.0"
"Belcher Islands (ecoregion)","Total population","631","684","744","812","882"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","631","684","744","812","882"
,"","Number per square kilometre",,,,
,"Total population density","0.254","0.276","0.300","0.327","0.355"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","100.0","100.0","100.0","100.0","100.0"
,"","Number",,,,
,"Private occupied dwellings 6","133","147","160","196","218"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","133","147","160","196","218"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.054","0.059","0.064","0.079","0.088"
,"","Number",,,,
,"Population per private occupied dwelling 6","4.7","4.7","4.7","4.1","4.0"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","4.7","4.7","4.7","4.1","4.0"
"Taiga Plains (ecozone)","Total population","24,488","21,512","22,773","22,375","21,897"
,"Population in population centres 5","10,550","8,337","8,995","9,013","8,172"
,"Population in rural areas 5","13,938","13,175","13,778","13,362","13,725"
,"","Number per square kilometre",,,,
,"Total population density","0.043","0.038","0.040","0.040","0.039"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","43.1","38.8","39.5","40.3","37.3"
,"Population in rural areas as a share of total population 5","56.9","61.2","60.5","59.7","62.7"
,"","Number",,,,
,"Private occupied dwellings 6","7,662","7,325","7,969","8,101","8,067"
,"Private occupied dwellings in population centres 5 6","3,573","3,074","3,343","3,556","3,292"
,"Private occupied dwellings in rural areas 5 6","4,089","4,251","4,626","4,545","4,775"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.014","0.013","0.014","0.014","0.014"
,"","Number",,,,
,"Population per private occupied dwelling 6","3.2","2.9","2.9","2.8","2.7"
,"Population per private occupied dwelling in population centres 5 6","3.0","2.7","2.7","2.5","2.5"
,"Population per private occupied dwelling in rural areas 5 6","3.4","3.1","3.0","2.9","2.9"
"Mackenzie Delta (ecoregion)","Total population","3,989","1,889","2,201","2,938","2,707"
,"Population in population centres 5","3,262","1,257","1,607","2,305","2,078"
,"Population in rural areas 5","727","632","594","633","629"
,"","Number per square kilometre",,,,
,"Total population density","0.743","0.352","0.410","0.547","0.504"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","81.8","66.5","73.0","78.5","76.8"
,"Population in rural areas as a share of total population 5","18.2","33.5","27.0","21.5","23.2"
,"","Number",,,,
,"Private occupied dwellings 6","1,332","729","837","1,115","1,029"
,"Private occupied dwellings in population centres 5 6","1,115","508","619","889","803"
,"Private occupied dwellings in rural areas 5 6","217","221","218","226","226"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.248","0.136","0.156","0.208","0.192"
,"","Number",,,,
,"Population per private occupied dwelling 6","3.0","2.6","2.6","2.6","2.6"
,"Population per private occupied dwelling in population centres 5 6","2.9","2.5","2.6","2.6","2.6"
,"Population per private occupied dwelling in rural areas 5 6","3.4","2.9","2.7","2.8","2.8"
"Peel River Plateau (ecoregion)","Total population","0","607","526","692","700"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","0","607","526","692","700"
,"","Number per square kilometre",,,,
,"Total population density","0.000","0.010","0.009","0.012","0.012"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","0.0","100.0","100.0","100.0","100.0"
,"","Number",,,,
,"Private occupied dwellings 6","0","182","173","234","270"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","0","182","173","234","270"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.000","0.003","0.003","0.004","0.005"
,"","Number",,,,
,"Population per private occupied dwelling 6","0.0","3.3","3.0","3.0","2.6"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","0.0","3.3","3.0","3.0","2.6"
"Great Bear Lake Plain (ecoregion)","Total population","616","536","525","404","480"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","616","536","525","404","480"
,"","Number per square kilometre",,,,
,"Total population density","0.008","0.007","0.007","0.006","0.007"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","100.0","100.0","100.0","100.0","100.0"
,"","Number",,,,
,"Private occupied dwellings 6","172","154","173","137","168"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","172","154","173","137","168"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.002","0.002","0.002","0.002","0.002"
,"","Number",,,,
,"Population per private occupied dwelling 6","3.6","3.5","3.0","2.9","2.9"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","3.6","3.5","3.0","2.9","2.9"
"Fort McPherson Plain (ecoregion)","Total population","1,040","359","425","248","172"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","1,040","359","425","248","172"
,"","Number per square kilometre",,,,
,"Total population density","0.038","0.013","0.016","0.009","0.006"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","100.0","100.0","100.0","100.0","100.0"
,"","Number",,,,
,"Private occupied dwellings 6","311","126","152","91","62"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","311","126","152","91","62"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.011","0.005","0.006","0.003","0.002"
,"","Number",,,,
,"Population per private occupied dwelling 6","3.3","2.8","2.8","2.7","2.8"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","3.3","2.8","2.8","2.7","2.8"
"Colville Hills (ecoregion)","Total population","90","102","131","149","129"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","90","102","131","149","129"
,"","Number per square kilometre",,,,
,"Total population density","0.006","0.007","0.009","0.010","0.009"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","100.0","100.0","100.0","100.0","100.0"
,"","Number",,,,
,"Private occupied dwellings 6","20","27","37","36","37"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","20","27","37","36","37"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.001","0.002","0.002","0.002","0.002"
,"","Number",,,,
,"Population per private occupied dwelling 6","4.5","3.8","3.5","4.1","3.5"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","4.5","3.8","3.5","4.1","3.5"
"Norman Range (ecoregion)","Total population","1,442","1,215","1,318","1,310","1,347"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","1,442","1,215","1,318","1,310","1,347"
,"","Number per square kilometre",,,,
,"Total population density","0.037","0.032","0.034","0.034","0.035"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","100.0","100.0","100.0","100.0","100.0"
,"","Number",,,,
,"Private occupied dwellings 6","454","435","478","508","499"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","454","435","478","508","499"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.012","0.011","0.012","0.013","0.013"
,"","Number",,,,
,"Population per private occupied dwelling 6","3.2","2.8","2.8","2.6","2.7"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","3.2","2.8","2.8","2.6","2.7"
"Mackenzie River Plain (ecoregion)","Total population","0","78","236","313","340"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","0","78","236","313","340"
,"","Number per square kilometre",,,,
,"Total population density","0.000","0.005","0.016","0.021","0.023"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","0.0","100.0","100.0","100.0","100.0"
,"","Number",,,,
,"Private occupied dwellings 6","0","22","67","94","104"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","0","22","67","94","104"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.000","0.002","0.005","0.006","0.007"
,"","Number",,,,
,"Population per private occupied dwelling 6","0.0","3.5","3.5","3.3","3.3"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","0.0","3.5","3.5","3.3","3.3"
"Grandin Plains (ecoregion)","Total population","0","0","0","0","0"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","0","0","0","0","0"
,"","Number per square kilometre",,,,
,"Total population density","0.000","0.000","0.000","0.000","0.000"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"","Number",,,,
,"Private occupied dwellings 6","0","0","0","0","0"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","0","0","0","0","0"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.000","0.000","0.000","0.000","0.000"
,"","Number",,,,
,"Population per private occupied dwelling 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","0.0","0.0","0.0","0.0","0.0"
"Franklin Mountains (ecoregion)","Total population","617","560","391","298","256"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","617","560","391","298","256"
,"","Number per square kilometre",,,,
,"Total population density","0.097","0.088","0.061","0.047","0.040"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","100.0","100.0","100.0","100.0","100.0"
,"","Number",,,,
,"Private occupied dwellings 6","178","159","120","93","95"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","178","159","120","93","95"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.028","0.025","0.019","0.015","0.015"
,"","Number",,,,
,"Population per private occupied dwelling 6","3.5","3.5","3.3","3.2","2.7"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","3.5","3.5","3.3","3.2","2.7"
"Keller Lake Plain (ecoregion)","Total population","0","0","0","0","0"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","0","0","0","0","0"
,"","Number per square kilometre",,,,
,"Total population density","0.000","0.000","0.000","0.000","0.000"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"","Number",,,,
,"Private occupied dwellings 6","0","0","0","0","0"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","0","0","0","0","0"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.000","0.000","0.000","0.000","0.000"
,"","Number",,,,
,"Population per private occupied dwelling 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","0.0","0.0","0.0","0.0","0.0"
"Great Slave Lake Plain (ecoregion)","Total population","437","729","728","817","825"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","437","729","728","817","825"
,"","Number per square kilometre",,,,
,"Total population density","0.014","0.023","0.023","0.025","0.026"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","100.0","100.0","100.0","100.0","100.0"
,"","Number",,,,
,"Private occupied dwellings 6","97","189","187","217","222"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","97","189","187","217","222"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.003","0.006","0.006","0.007","0.007"
,"","Number",,,,
,"Population per private occupied dwelling 6","4.5","3.9","3.9","3.8","3.7"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","4.5","3.9","3.9","3.8","3.7"
"Nahanni Plateau (ecoregion)","Total population","0","0","0","0","0"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","0","0","0","0","0"
,"","Number per square kilometre",,,,
,"Total population density","0.000","0.000","0.000","0.000","0.000"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"","Number",,,,
,"Private occupied dwellings 6","0","0","0","0","0"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","0","0","0","0","0"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.000","0.000","0.000","0.000","0.000"
,"","Number",,,,
,"Population per private occupied dwelling 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","0.0","0.0","0.0","0.0","0.0"
"Sibbeston Lake Plain (ecoregion)","Total population","0","0","0","0","0"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","0","0","0","0","0"
,"","Number per square kilometre",,,,
,"Total population density","0.000","0.000","0.000","0.000","0.000"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"","Number",,,,
,"Private occupied dwellings 6","0","0","0","0","0"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","0","0","0","0","0"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.000","0.000","0.000","0.000","0.000"
,"","Number",,,,
,"Population per private occupied dwelling 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","0.0","0.0","0.0","0.0","0.0"
"Horn Plateau (ecoregion)","Total population","0","0","0","0","0"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","0","0","0","0","0"
,"","Number per square kilometre",,,,
,"Total population density","0.000","0.000","0.000","0.000","0.000"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"","Number",,,,
,"Private occupied dwellings 6","0","0","0","0","0"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","0","0","0","0","0"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.000","0.000","0.000","0.000","0.000"
,"","Number",,,,
,"Population per private occupied dwelling 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","0.0","0.0","0.0","0.0","0.0"
"Hay River Lowland (ecoregion)","Total population","15,600","14,801","15,417","14,500","14,318"
,"Population in population centres 5","7,288","7,080","7,388","6,708","6,094"
,"Population in rural areas 5","8,312","7,721","8,029","7,792","8,224"
,"","Number per square kilometre",,,,
,"Total population density","0.130","0.124","0.129","0.121","0.120"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","46.7","47.8","47.9","46.3","42.6"
,"Population in rural areas as a share of total population 5","53.3","52.2","52.1","53.7","57.4"
,"","Number",,,,
,"Private occupied dwellings 6","4,911","5,099","5,448","5,362","5,369"
,"Private occupied dwellings in population centres 5 6","2,458","2,566","2,724","2,667","2,489"
,"Private occupied dwellings in rural areas 5 6","2,453","2,533","2,724","2,695","2,880"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.041","0.043","0.046","0.045","0.045"
,"","Number",,,,
,"Population per private occupied dwelling 6","3.2","2.9","2.8","2.7","2.7"
,"Population per private occupied dwelling in population centres 5 6","3.0","2.8","2.7","2.5","2.4"
,"Population per private occupied dwelling in rural areas 5 6","3.4","3.0","2.9","2.9","2.9"
"Northern Alberta Uplands (ecoregion)","Total population","612","615","740","633","608"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","612","615","740","633","608"
,"","Number per square kilometre",,,,
,"Total population density","0.008","0.008","0.010","0.009","0.008"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","100.0","100.0","100.0","100.0","100.0"
,"","Number",,,,
,"Private occupied dwellings 6","180","191","232","210","206"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","180","191","232","210","206"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.002","0.003","0.003","0.003","0.003"
,"","Number",,,,
,"Population per private occupied dwelling 6","3.4","3.2","3.2","3.0","3.0"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","3.4","3.2","3.2","3.0","3.0"
"Muskwa Plateau (ecoregion)","Total population","45","21","135","73","15"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","45","21","135","73","15"
,"","Number per square kilometre",,,,
,"Total population density","0.002","0.001","0.006","0.003","0.001"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","100.0","100.0","100.0","100.0","100.0"
,"","Number",,,,
,"Private occupied dwellings 6","7","12","65","4","6"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","7","12","65","4","6"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0s","0s","0.003","0s","0s"
,"","Number",,,,
,"Population per private occupied dwelling 6","6.4","1.8","2.1","18.3","2.5"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","6.4","1.8","2.1","18.3","2.5"
"Taiga Shield (ecozone)","Total population","39,273","38,657","42,251","44,807","46,723"
,"Population in population centres 5","14,027","19,522","20,442","21,011","23,204"
,"Population in rural areas 5","25,246","19,135","21,809","23,796","23,519"
,"","Number per square kilometre",,,,
,"Total population density","0.036","0.035","0.038","0.041","0.042"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","35.7","50.5","48.4","46.9","49.7"
,"Population in rural areas as a share of total population 5","64.3","49.5","51.6","53.1","50.3"
,"","Number",,,,
,"Private occupied dwellings 6","11,130","11,565","12,933","13,762","14,451"
,"Private occupied dwellings in population centres 5 6","4,757","6,374","6,854","7,189","7,950"
